No,案件名,内容,スキル,場所,単価,期間,精算,面談回数,備考
1,JAVA開発支援,大手通信キャリア向けシステムの開発支援業務です。詳細設計～製造～テストを担当いただきます。,Java, Spring Boot, MySQL,東京都千代田区（フルリモート）,70-80万円,即日～長期,140-180h,1回,外国籍可
2,Go言語バックエンド開発,ソーシャルゲームのサーバーサイド開発。高トラフィック対策、API設計など。,Go, AWS, Docker,東京都港区（六本木）,80-90万円,2024/02/01～,150-190h,1回,フルリモート相談可
3,PMO支援（インフラ）,公共系基盤システムの更改プロジェクトにおけるPMO支援。進捗管理、課題管理、資料作成。,PMO, PowerPoint, Excel,東京都新宿区,60-70万円,即日～,140-180h,2回,
4,Reactフロントエンド開発,SaaSプロダクトのUI/UX改善および新規機能実装。,React, TypeScript, Next.js,フルリモート,75-85万円,即日～長期,140-180h,1回,
5,Python AIエンジニア,画像認識エンジンの精度向上、データセット作成、モデル構築。,Python, PyTorch, OpenCV,東京都渋谷区,90-100万円,2024/03/01～,140-180h,2回,週3～相談可
6,SAP導入コンサルタント,会計モジュールの導入支援、要件定義～設定。,SAP FI/CO, ABAP,大阪府大阪市,100-120万円,即日～,固定,1回,出張あり
7,AWS基盤構築,コンテナ基盤（EKS）の設計・構築。,AWS, Kubernetes, Terraform,神奈川県横浜市,80-90万円,即日～6ヶ月,140-180h,1回,
8,PL/SQL開発,金融系バッチ処理の改修、パフォーマンスチューニング。,Oracle, PL/SQL, Linux,東京都品川区,65-75万円,即日～長期,140-180h,1回,
9,Flutterモバイルアプリ開発,新規C向けマッチングアプリの開発。,Flutter, Dart, Firebase,フルリモート,70-80万円,即日～,140-180h,1回,
10,PHP(Laravel)開発,ECサイトのリニューアル、機能追加。,PHP, Laravel, Vue.js,東京都中央区,60-70万円,2024/02～,140-180h,1回,
